text,intent,source
मुझे सेब का स्टॉक मूल्य दें,answer_query,hwu64
पृथ्वी पर हमारा क्या उद्देश्य है?,answer_query,clinc150
चट्टान की रेत क्या है,answer_query,hwu64
"s2, यह नहीं मिल सकता है।",answer_query,hwu64
"""कुत्ता"" के अर्थ का वर्णन करें",answer_query,clinc150
उपन्यास शब्द को परिभाषित करें,answer_query,hwu64
क्या न्यूयॉर्क में अभी मौसम खराब है,answer_query,hwu64
क्या आप नौ जमा दो कर सकते हैं,answer_query,hwu64
आज का मौसम क्या होगा,answer_query,massive
सौम्य के समानार्थी शब्द कौन कौन से है,answer_query,massive
"क्या आप अभी जो कहा है, उसके बारे में कृपया मुझे और विस्तार से बता सकते हैं?",answer_query,hwu64
विदेशी मुद्रा दरें,answer_query,hwu64
8 + 3 का योग क्या है,answer_query,clinc150
सूर्यास्त कब होता है,answer_query,hwu64
क्या मुझे पैंट चाहिए,answer_query,hwu64
ये महिला है या पुरुष,answer_query,massive
"एस1, क्या आप मुझे इस पर और स्पष्ट कर सकते हैं।",answer_query,hwu64
सबसे बड़ा जानवर,answer_query,hwu64
अगले दिन के लिए मौसम की स्थिति,answer_query,massive
प्रो बोनो का क्या मतलब है,answer_query,hwu64
क्या आप समुद्र के बारे में कोई मजेदार तथ्य जानते हैं,answer_query,clinc150
कुछ समय पहले एयरटेल को कितना बेचा गया था,answer_query,hwu64
मियामी का मौसम कैसा है,answer_query,clinc150
डॉलर की तुलना पाउंड से कैसे होती है,answer_query,hwu64
मैंने वास्तव में आज धूप वाले दिन का आनंद लिया,answer_query,hwu64
क्या आप मुझे इस धुन का नाम दे सकते हैं,answer_query,clinc150
क्या खाना अच्छा नहीं है,answer_query,massive
मेरा दिन बहुत व्यस्त था,answer_query,hwu64
मैं इस व्यक्ति के बारे में और जानना चाहता हूँ,answer_query,massive
वन प्लस वन क्या है,answer_query,hwu64
क्यूबेक में कितनी गर्मी है,answer_query,hwu64
भगवान को परिभाषित करें,answer_query,hwu64
कोलंबस ओहियो में कितना गर्म है,answer_query,hwu64
क्या आप मुझे बता सकते हैं कि 235 पर 30 प्रतिशत की छूट क्या है?,answer_query,clinc150
"जीवन का क्या मतलब है, वैसे भी",answer_query,clinc150
बारह को चार से विभाजित करके कितना होता है,answer_query,hwu64
मेरे पास मौजूद मुद्राओं के लिए कौन सा बैंक बेहतर दर देगा,answer_query,hwu64
मुझे ओलंपिक के बारे में एक मजेदार तथ्य बताएँ,answer_query,clinc150
स्टीवन स्पीलबर्ग कहाँ रहते हैं,answer_query,hwu64
क्या मुझे सैंडल पहनना चाहिए,answer_query,massive
क्या पंद्रह अगस्त को बारिश होगी,answer_query,massive
बाल किससे बने होते हैं,answer_query,hwu64
"s2, आपने अभी क्या कहा है, इसके बारे में मैं स्पष्ट नहीं था।",answer_query,hwu64
यह गीत कौन गाता है,answer_query,clinc150
आज कैसा रहेगा,answer_query,massive
क्या आप कृपया मुझे बता सकते हैं कि टर्नट शब्द का अर्थ क्या है,answer_query,massive
ओली आज मेरे जीवन का सबसे अच्छा दिन था,answer_query,massive
आई. एन. आर. में डॉलर की कीमत क्या है,answer_query,hwu64
मुझे अमेज़न के शेयर की कीमत दिखाएँ,answer_query,hwu64
एक चार्ट का वर्णन करें,answer_query,hwu64
समीकरण एक प्लस एक हल करें,answer_query,massive
प्रसिद्ध व्यक्ति की जीवनी,answer_query,massive
क्या आप शैम्पू के बारे में कोई मजेदार तथ्य जानते हैं,answer_query,clinc150
दोलन को परिभाषित करें,answer_query,hwu64
मुझे दिल्ली का वर्तमान मौसम बताएँ,answer_query,hwu64
2 + 2 क्या है,answer_query,clinc150
पीडीए का क्या मतलब है,answer_query,massive
900 गुना 8 क्या है,answer_query,clinc150
क्या एक पेसो का मूल्य एक डॉलर से अधिक है,answer_query,hwu64
मुझे एक चुटकुला साझा करें,answer_query,massive
मित्र अद्यतन,answer_query,hwu64
आज लखनऊ में बिजली कड़कने की संभावना कितनी है,answer_query,massive
", सबसे तेज़ दौड़ने वाला जानवर कौन है?",answer_query,targeted_fix
इंटरनेट का इन्वेंशन किसने किया?,answer_query,targeted_fix
", आईपीएल की शुरुआत किस साल हुई थी?",answer_query,targeted_fix
दीपिका पादुकोण का होमटाउन कहाँ है?,answer_query,targeted_fix
" यार, माउंट एवरेस्ट की हाइट कितनी है?",answer_query,targeted_fix
सबसे ज़्यादा ऑस्कर जीतने वाली फिल्म कौन सी है?,answer_query,targeted_fix
", मानव शरीर में कितनी हड्डियाँ होती हैं?",answer_query,targeted_fix
ताजमहल किसने बनवाया था?,answer_query,targeted_fix
" बता, क्रिकेट में डकवर्थ-लुईस मेथड क्या होता है?",answer_query,targeted_fix
क्या वर्ल्ड वॉर थ्री हो सकती है?,answer_query,targeted_fix
", बिरयानी की उत्पत्ति कहाँ से हुई?",answer_query,targeted_fix
शाहरुख खान की पहली फिल्म कौन सी थी?,answer_query,targeted_fix
", टोटल कितने पोकेमॉन हैं?",answer_query,targeted_fix
दुनिया में कुल कितने देश हैं?,answer_query,targeted_fix
", पृथ्वी गोल क्यों है?",answer_query,targeted_fix
अब्राहम लिंकन को किसने मारा था?,answer_query,targeted_fix
" यार, आलू पराठा कैसे बनता है?",answer_query,targeted_fix
क्या तू बता सकती है कि सचिन तेंदुलकर ने कितने इंटरनेशनल सेंचुरी मारी हैं?,answer_query,targeted_fix
", अजय देवगन की हॉबी क्या है?",answer_query,targeted_fix
भारत की पहली महिला प्राइम मिनिस्टर कौन थीं?,answer_query,targeted_fix
" बता, डोसा साउथ इंडिया के किस स्टेट से है?",answer_query,targeted_fix
क्या इंसान कभी मार्स पर जा सकता है?,answer_query,targeted_fix
", विराट कोहली का डेब्यू मैच कब था?",answer_query,targeted_fix
वर्तमान मौसम क्या है,answer_query,clinc150
क्या आप कृपया एक बार फिर मुझे अपने उत्तरों पर फिर से लिखेंगे?,answer_query,hwu64
जीवन के अर्थ पर शोध करें,answer_query,clinc150
महाभारत और रामायण में से कौन सा एपिक पहले लिखा गया था?,answer_query,targeted_fix
", स्पेस में साउंड क्यों नहीं सुनाई देती?",answer_query,targeted_fix
भारत का राष्ट्रीय खेल कौन सा है?,answer_query,targeted_fix
" यार, रनिंग के लिए नाइकी और एडिडास में कौन सा बेटर है?",answer_query,targeted_fix
सबसे गहरा समुद्र कौन सा है?,answer_query,targeted_fix
", थ्री इडियट्स में रेंचो का असली नाम क्या था?",answer_query,targeted_fix
क्या जीवन का कोई अर्थ है,answer_query,clinc150
क्या डायनासोर दोबारा धरती पर आ सकते हैं?,answer_query,targeted_fix
नेपोलियन बोनापार्ट की हाइट कितनी थी?,answer_query,targeted_fix
", बटर चिकन किस शहर में इन्वेंट हुआ था?",answer_query,targeted_fix
सात अजूबों में भारत से कौन सी चीज़ शामिल है?,answer_query,targeted_fix
", ब्लैक होल क्या होता है?",answer_query,targeted_fix
भारत में सबसे पहले ट्रेन कब चली थी?,answer_query,targeted_fix
", पानी का केमिकल फॉर्मूला क्या है?",answer_query,targeted_fix
अमिताभ बच्चन की पहली सुपरहिट फिल्म कौन सी थी?,answer_query,targeted_fix
" यार, चॉकलेट किस चीज़ से बनती है?",answer_query,targeted_fix
सूरज से पृथ्वी की दूरी कितनी है?,answer_query,targeted_fix
" बता, डीएनए का फुल फॉर्म क्या है?",answer_query,targeted_fix
एक अच्छा बेवकूफ मजाक खोजें,answer_query,hwu64
क्या मुझे आज जूते चाहिए,answer_query,hwu64
मशहूर हस्तियां,answer_query,hwu64
कुछ मज़ेदार कहो,answer_query,hwu64
मुझे तलहस्सी के लिए वर्तमान मौसम रिपोर्ट पढ़ें,answer_query,clinc150
मजेदार चुटकुले ढूंढें,answer_query,hwu64
कंबल का वर्णन करें,answer_query,massive
पंद्रह निन्यानबे डॉलर और छह पैंसठ डॉलर का योग क्या है,answer_query,hwu64
छतरी का क्या अर्थ है,answer_query,hwu64
अगर मेरा रोबोट मेरे लिए पैसा कमा सके तो मैं चाहूंगा,answer_query,hwu64
क्या प्रभु देवा वाकई मर चुके हैं,answer_query,massive
इस गीत के गायक का नाम बताइए,answer_query,clinc150
कृपया मुझे सलमान खान के अपार्टमेंट का पता दें,answer_query,massive
एच. डी. एफ. सी. के शेयर की कीमत देखें,answer_query,hwu64
कितने देश,answer_query,massive
जी. बी. पी. से यू. एस. डी. के लिए दर क्या है?,answer_query,hwu64
"एस1, मुझे इस पर और अधिक लिखें।",answer_query,hwu64
सबसे गर्म रेगिस्तान कहाँ स्थित है,answer_query,massive
सौ का दस प्रतिशत,answer_query,massive
इस शुक्रवार को मौसम कैसा है,answer_query,hwu64
बस मुझे भारत की आबादी के बारे में बताएँ,answer_query,hwu64
ठंड लग रही है,answer_query,hwu64
कृपया मेरे लिए 2 इंच को मीटर में बदलें,answer_query,clinc150
आपके जीवन को मेरे द्वारा कैसे बदल दिया गया है,answer_query,hwu64
मुझे वर्तमान में बजाने वाले कलाकार के बारे में बताएँ,answer_query,clinc150
अमेरिकी डॉलर और यूरो की विनिमय दर क्या है,answer_query,hwu64
क्या आज तापमान रहेगा,answer_query,hwu64
सूचनाएं,answer_query,massive
फिल्म स्टार कीनू रीव्स की जन्म तिथि,answer_query,hwu64
क्या आप कृपया मुझे आइटम लैपटॉप का अर्थ बता सकते हैं,answer_query,hwu64
क्या आप मुझे गूगल स्टॉक की कीमत बता सकते हैं,answer_query,hwu64
एक अच्छा मजाक क्या है,answer_query,hwu64
आप मेरे व्यक्तिगत डेटा का क्या करते हैं?,answer_query,hwu64
मेरा स्थान क्या है,answer_query,hwu64
एक रोमांटिक प्रेम का वर्णन करें,answer_query,hwu64
अमेरिका में सबसे ऊंची पर्वत श्रृंखला कौन सी है,answer_query,massive
यह मत लो।,answer_query,hwu64
एलेक्सा बीस मार्च दो हजार सत्रह को मौसम कैसा रहने वाला है,answer_query,massive
क्या आप मुझे बता सकते हैं कि गुरुत्वाकर्षण कैसे काम करता है,answer_query,massive
पायसीकरण का क्या अर्थ है,answer_query,clinc150
मुझे लेक्समार्क के वर्तमान शेयर की कीमत बताएँ,answer_query,hwu64
निन्दा शब्द का क्या अर्थ है,answer_query,clinc150
प्रियंका चोपड़ा का जन्मदिन है,answer_query,massive
आप बेसाल्ट कैसे प्राप्त कर सकते हैं,answer_query,hwu64
मुंबई हाई सतह समुद्र तल से कितना ऊपर है,answer_query,massive
stocks खोलें,answer_query,massive
सत्र को परिभाषित करें,answer_query,hwu64
मैं जानना चाहता हूँ कि एक चम्मच में कितने चम्मच होते हैं,answer_query,clinc150
क्या मैं बिना रेनकोट के बाहर जा सकता हूँ,answer_query,hwu64
क्या बे ऑफ बंगाल असली है,answer_query,massive
क्या कल बारिश होने वाली है,answer_query,hwu64
आप मीलों को किलोमीटर में कैसे बदलते हैं,answer_query,clinc150
क्या खेल रहा है,answer_query,clinc150
जीवन का रहस्य या अर्थ क्या है,answer_query,clinc150
एक महिला में बदलना,answer_query,massive
"एस1, कृपया मुझे अपने शब्दों के बारे में और समझाएँ।",answer_query,hwu64
मुझे बताएँ कि ग्राम को औंस में कैसे बदला जाए,answer_query,clinc150
एक छठे का तीन चौथाई क्या है,answer_query,clinc150
मैं ब्लैक होल के बारे में एक साफ-सुथरा तथ्य सीखना चाहता हूँ,answer_query,clinc150
क्या आप एक बार फिर से मुझे उस बारे में दोहराएँगे जो आपने अभी कहा है।,answer_query,hwu64
2/3 x 1/9 क्या है,answer_query,clinc150
बाहर का तापमान क्या है,answer_query,clinc150
"एस1, क्या आप कृपया अंतिम वाक्य पर मुझे और अधिक दोहरा सकते हैं।",answer_query,hwu64
जीवन में हमारा उद्देश्य क्या है,answer_query,clinc150
चम्मच और चम्मच के बीच परिवर्तन को समझने में मेरी मदद करें,answer_query,clinc150
पॉर्न,answer_query,massive
अत्यंत का अर्थ क्या है,answer_query,massive
आपको मेरा सहायक होना कैसा लगता है?,answer_query,hwu64
मौसम कैसा रहने वाला है,answer_query,clinc150
ए. एम. डी. स्टॉक की कीमतें क्या हैं,answer_query,hwu64
एक संतरे में कितनी कैलोरी होती है,answer_query,massive
लगातार अर्थ,answer_query,massive
इस सप्ताह सोमवार को मौसम कैसा रहेगा,answer_query,hwu64
अरे मैं आपकी शुरूआत के बारे में जानना चाहता हूँ,answer_query,massive
आपने अभी जो कहा वह मेरे लिए इतना स्पष्ट नहीं था।,answer_query,hwu64
मुझे बताएँ कि वर्कहाउस क्या होता है,answer_query,hwu64
क्या जिन शेयरों में मैंने निवेश किया है वे बढ़ रहे हैं,answer_query,hwu64
मुझे इस गीत का नाम बताएँ,answer_query,clinc150
मुझे डॉलर से कम के लिए तैयारी पेशेवर कहां मिल सकता है,answer_query,massive
इस सप्ताहांत मौसम कैसा रहेगा,answer_query,clinc150
चार जमा पाँच क्या है,answer_query,hwu64
क्या आप मुझे एक मजाक बता सकते हैं,answer_query,hwu64
दो को दो से गुणा करके गणना करें,answer_query,hwu64
क्या आप कृपया मुझे उस पर आगे दोहराएँगे।,answer_query,hwu64
20 + 5 क्या है,answer_query,clinc150
मुझे वर्तमान मौसम के बारे में बताएँ,answer_query,hwu64
इस जीवन का क्या अर्थ है?,answer_query,clinc150
दो गुना दो क्या है,answer_query,hwu64
मुझे हर जगह का नक्शा दिखाएँ जहाँ बिल्ली इस सप्ताह रही है,answer_query,hwu64
घर शब्द का अर्थ क्या है,answer_query,massive
स्पीकर पर गाना कैसा है,answer_query,clinc150
कृपया आप मुझे इस बारे में और स्पष्ट करेंगे।,answer_query,hwu64
मुझे उम्फ़ के बारे में सब कुछ बताएँ,answer_query,hwu64
यूरोप में कितने देश हैं,answer_query,hwu64
ओरलैंडो में परिस्थितियाँ कैसी हैं,answer_query,clinc150
यू. एस. डी. से जी. बी. पी. तक की दर,answer_query,hwu64
क्या आप जीवन का अर्थ साझा कर सकते हैं,answer_query,clinc150
चीन में पचास अमेरिकी डॉलर के साथ कितना है,answer_query,hwu64
पाइक्स की चोटी कितनी ऊँची है,answer_query,hwu64
बारह गुना आठ क्या है,answer_query,hwu64
1/2 गुना 5/8 क्या है,answer_query,clinc150
नए के साथ जाओ,answer_query,massive
मुझे कुछ चुटकुला सुनाओ,answer_query,hwu64
कृपया एक जमा एक जोड़ें,answer_query,hwu64
टॉम इज़ो जब उसकी टीम खेलती है तो वह एक सनकी बिल्ली की तरह क्यों दिखता है,answer_query,hwu64
बॉब स्क्रोट की कुल संपत्ति क्या है,answer_query,hwu64
मुझे स्लिंकीज़ के बारे में कुछ साफ-सुथरा बताएँ,answer_query,clinc150
क्या टर्की उड़ सकते हैं,answer_query,hwu64
यह कहने का आपका क्या मतलब था?,answer_query,hwu64
न्यूयॉर्क में अभी मौसम कैसा है,answer_query,hwu64
आप औंस को किलो में कैसे बदलते हैं,answer_query,clinc150
आज का तापमान क्या है,answer_query,massive
बाहर कैसा है?,answer_query,clinc150
कल रात एरिका ग्रेब ने कौन से पुरस्कार जीते,answer_query,hwu64
बेस्ट बाय स्टिक में क्या बदलाव है,answer_query,hwu64
वस्तु के नाम की परिभाषा,answer_query,hwu64
क्या बाहर ठंड है,answer_query,massive
दो हजार सत्रह के लिए संगीत चार्ट में सबसे ऊपर कौन है,answer_query,massive
मुझे टेलीविजन के बारे में विवरण दें,answer_query,massive
फ्लोरिडा की जनसंख्या कितनी है,answer_query,hwu64
स्नैफू का क्या अर्थ है,answer_query,hwu64
क्या आप मेरे लिए आर. ओ. आई. पी. में हेरफेर कर सकते हैं,answer_query,hwu64
मुझे बताओ कि मोदी का जन्म कब हुआ था,answer_query,massive
क्या पैरों को इंच में बदलने का कोई आसान तरीका है,answer_query,clinc150
अच्छी मुक्ति का क्या अर्थ है,answer_query,clinc150
बीजिंग में मौसम कैसा है,answer_query,massive
गोरखपुर कहाँ है,answer_query,massive
उपदेशात्मक की परिभाषा क्या है,answer_query,clinc150
पता लगाएँ कि एक सौ तैंसठ का कितना प्रतिशत तीस है,answer_query,hwu64
मुझे हंसने के लिए कोई मजेदार चुटकुला सुनाएँ,answer_query,hwu64
विनिमय दरें क्या हैं,answer_query,hwu64
पहली कार कौन सी बनाई गई थी,answer_query,hwu64
आप क्या कर रहे हैं?,answer_query,hwu64
विनिमय दर किसी भी समस्या,answer_query,massive
भारतीय रुपया और यू. एस. डॉलर के बीच विनिमय दर क्या है,answer_query,massive
दुनिया का सबसे बड़ा महासागर प्रशांत है,answer_query,hwu64
विपणन क्या है,answer_query,hwu64
अब कौन सा गाना चल रहा है,answer_query,clinc150
